Codigo,Descripcion,Stock_Min_Definido,Stock_Max_Definido,Stock_Admin_Calculado,Total_en_Lotes,Diferencia_Fisica
ME03D01X006                   ,ETIQUETA SALSA A BASE DE TOMATE  PRESENTACION 3.85 KG GALON  MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,,25170.0,25170.0
ME02N00X014                   ,TAPA ENVASE 110 MM GALON UNID.(DDB NEGRA),0.0,0.0,50599.0,25078.9,25078.9
ME03D16X002                   ,ETIQUETA MERMELADA DE FRESA PREMIUM 250 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,75719.0,20905.6,20905.6
PT01P01X017                   ,PIPITA Mayonesa Tradicional PEAD Sqeeze 200g,0.0,0.0,829541.0,20013.0,20013.0
MP01N00X154                   ,SAL COMESTIBLE KG,0.0,0.0,24202.63177,19208.4797,19208.4797
ME01N00X018                   ,ENVASE KETCHUP 397 G. VIDRIO UNID.,0.0,0.0,125234.0,18874.0,18874.0
ME02N00X001                   ,TAPA ENVASE 110 MM GALON UNID. (AZUL),0.0,0.0,203427.6,18448.5,18448.5
ME03D18X002                   ,ETIQUETA MERMELADA DE GUAYABA PREMIUM 250 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,43534.0,18106.2,18106.2
ME05N00X004                   ,BANDEJA CARTON ARMABLE MAYONESA SQUEEZE 200G,0.0,0.0,74111.10441,14876.77336,14876.77336
ME05N00X008                   ,BANDEJA CARTON ARMABLE MERMELADA,0.0,0.0,30832.03,13242.665,13242.665
ME02N00X009                   ,TAPA ENVASE VIDRIO KETCHUP 30 MM UNID.,0.0,0.0,12900.0,12900.0,12900.0
ME05N00X009                   ,SEPARADOR DE CARTON PARA BANDEJA ARMABLE MERMELADA,0.0,0.0,29844.975,12763.485,12763.485
ME05N00X005                   ,BANDEJA CARTON ARMABLE MAYONESA 445G,0.0,0.0,91019.34471,11548.36555,11548.36555
MP01N00X155                   ,MOSTAZA PREPARADA KG,0.0,0.0,10981.31147,9666.81161,9666.81161
ME05N00X011                   ,BANDEJA CARTON ARMABLE MAYONESA ENVASE CILINDRICO 910G DELICIAS DE BELEN,0.0,0.0,7967.81011,8016.86431,8016.86431
